block_id,num_period,group_id,duration,num_player,swap_method,pay_method,discrete,messaging
0,1,1,100,4,swap,gain,TRUE,FALSE
0,1,2,100,4,swap,gain,TRUE,FALSE
1,2,1,100,4,swap,gain,TRUE,FALSE
1,2,2,100,4,swap,gain,TRUE,FALSE
1,3,1,100,4,swap,gain,TRUE,FALSE
1,3,2,100,4,swap,gain,TRUE,FALSE
1,4,1,100,4,swap,gain,TRUE,FALSE
1,4,2,100,4,swap,gain,TRUE,FALSE
0,5,1,100,4,take/Leave,gain,TRUE,FALSE
0,5,2,100,4,take/Leave,gain,TRUE,FALSE
2,6,1,100,4,take/Leave,gain,TRUE,FALSE
2,6,2,100,4,take/Leave,gain,TRUE,FALSE
2,7,1,100,4,take/Leave,gain,TRUE,FALSE
2,7,2,100,4,take/Leave,gain,TRUE,FALSE
2,8,1,100,4,take/Leave,gain,TRUE,FALSE
2,8,2,100,4,take/Leave,gain,TRUE,FALSE
0,9,1,100,4,double,gain,TRUE,FALSE
0,9,2,100,4,double,gain,TRUE,FALSE
3,10,1,100,4,double,gain,TRUE,FALSE
3,10,2,100,4,double,gain,TRUE,FALSE
3,11,1,100,4,double,gain,TRUE,FALSE
3,11,2,100,4,double,gain,TRUE,FALSE
3,12,1,100,4,double,gain,TRUE,FALSE
3,12,2,100,4,double,gain,TRUE,FALSE
0,13,1,100,4,token,gain,TRUE,FALSE
0,13,2,100,4,token,gain,TRUE,FALSE
4,14,1,100,4,token,gain,TRUE,FALSE
4,14,2,100,4,token,gain,TRUE,FALSE
4,15,1,100,4,token,gain,TRUE,FALSE
4,15,2,100,4,token,gain,TRUE,FALSE
4,16,1,100,4,token,gain,TRUE,FALSE
4,16,2,100,4,token,gain,TRUE,FALSE
